O sistema funciona sem falhas.;Os recursos de acessibilidade do sistema são fáceis de encontrar.;O sistema é fácil de usar.;O sistema está disponível para uso em qualquer dia e hora.;O desempenho do sistema é satisfatório, independentemente da forma de acesso.;O sistema informa sobre as políticas de privacidade e segurança.;Acredito que meus dados estão seguros neste sistema.;É fácil localizar os serviços e as informações no sistema.;A navegação pelo sistema é intuitiva.;O sistema oferece instruções úteis de como utilizar os serviços.;As informações são fáceis de entender.;As informações são precisas.;As informações auxiliam na solicitação dos serviços.;Todas as informações necessárias para a solicitação dos serviços são fornecidas.;O prazo de entrega dos serviços é informado.;As taxas cobradas pelos serviços são informadas.;As informações disponibilizadas estão atualizadas.;Os serviços oferecem suporte técnico eficiente.;O atendimento resolve meus problemas.;Os serviços permitem a conclusão das tarefas no menor tempo possível.;Consigo obter o que preciso no menor tempo possível.;Os serviços atendem às minhas expectativas.;Quando preciso de ajuda, minhas dificuldades são resolvidas.;Meus dados são automaticamente identificados na solicitação dos serviços.;Os serviços oferecidos são confiáveis.;Os serviços permitem interações em tempo real (ex. chatbot, IA).;Qual o seu nível de satisfação com o Sistema?;Qual o seu sexo?;Qual a sua idade?;Qual seu nível de escolaridade completo?;Você é funcionário público?
Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Indiferente;Discordo;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Não sei;Indiferente;Feminino;23;Ensino Superior;Não
Discordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Indiferente;Não sei;Indiferente;Indiferente;Discordo;Concordo;Concordo;Satisfeito;Feminino;25;Ensino Médio;Não
;Discordo;Discordo;Indiferente;Concordo;Concordo totalmente;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Feminino;21;Ensino Médio;Não
Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Discordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Satisfeito;Feminino;22;Ensino Superior;Não
Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Não sei;Concordo totalmente;Não sei;Concordo;Não sei;Indiferente;Concordo;Não sei;Não sei;Concordo;Concordo;Satisfeito;Feminino;31;Ensino Superior;Não
Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;;Discordo;Indiferente;Indiferente;Indiferente;Insatisfeito;Feminino;29;Ensino Superior;Não
Discordo;Discordo totalmente;Não sei;Não sei;Não sei;Concordo;Discordo;Discordo totalmente;Concordo;Discordo;Discordo;Não sei;Não sei;Não sei;Concordo;Discordo;Não sei;Não sei;Discordo;Não sei;Não sei;Discordo;Discordo;Discordo;Discordo;Discordo totalmente;Indiferente;;;;
Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo totalmente;Concordo;Indiferente;Discordo totalmente;Concordo;Discordo totalmente;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Concordo;Indiferente;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo totalmente;Discordo;Discordo totalmente;Insatisfeito;Masculino;19;Ensino Médio;Não
Concordo;Indiferente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Satisfeito;Masculino;24;Ensino Médio;Não
Não sei;Indiferente;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;19;Ensino Superior;Não
Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo totalmente;Não sei;Discordo;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Discordo;Discordo;Concordo;Indiferente;Discordo;Não sei;Não sei;Satisfeito;Feminino;19;Ensino Superior;Não
Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Não sei;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Concordo totalmente;Não sei;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Discordo totalmente;Concordo;Não sei;Muito satisfeito;Feminino;19;Ensino Médio;Não
Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Indiferente;Discordo;Discordo;Discordo totalmente;Discordo;Concordo totalmente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo totalmente;Discordo totalmente;Concordo;Concordo;Concordo;Discordo;Discordo;Não sei;Concordo;Concordo;Insatisfeito;Masculino;20;Ensino Superior;Não
Indiferente;Discordo;Indiferente;Concordo;Discordo;Discordo;Discordo;Indiferente;Concordo;Indiferente;Concordo totalmente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Feminino;19;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Discordo;Indiferente;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Satisfeito;Feminino;19;Ensino Médio;Não
Concordo totalmente;Não sei;Discordo;Não sei;Não sei;Não sei;Concordo;Discordo totalmente;Discordo;Não sei;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Indiferente;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Insatisfeito;Masculino;19;Ensino Médio;Não
Discordo;Discordo;Discordo;Indiferente;Indiferente;Concordo totalmente;Concordo totalmente;Discordo;Indiferente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Indiferente;Concordo totalmente;Não sei;Não sei;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Satisfeito;Feminino;20;Ensino Superior;Não
Indiferente;Não sei;Indiferente;Concordo totalmente;Não sei;Não sei;Não sei;Discordo;Concordo;Não sei;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Indiferente;Masculino;19;Ensino Médio;Não
Indiferente;Discordo;Discordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Concordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Feminino;19;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Indiferente;Indiferente;Concordo;Discordo totalmente;Concordo;Concordo;Indiferente;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Discordo;Não sei;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;19;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Concordo;Não sei;Satisfeito;Prefiro não responder;22;Ensino Superior;Não
Não sei;Discordo;Discordo;Não sei;Indiferente;Concordo;Concordo;Discordo;Não sei;Concordo;Discordo;Indiferente;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Indiferente;Não sei;Discordo;Concordo;Não sei;Discordo;Concordo;Não sei;Indiferente;Feminino;20;Ensino Superior;Não
Indiferente;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Indiferente;Feminino;19;Ensino Médio;Não
Concordo;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Concordo;Concordo;Discordo totalmente;Concordo totalmente;Concordo;Discordo;Concordo totalmente;Indiferente;Discordo;Discordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;20;Ensino Médio;Não
Discordo;Discordo totalmente;Discordo totalmente;Concordo;Indiferente;Indiferente;Indiferente;Discordo totalmente;Indiferente;Indiferente;Discordo totalmente;Indiferente;Indiferente;Indiferente;Não sei;Indiferente;Concordo;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Indiferente;Concordo;Não sei;Indiferente;Feminino;19;Ensino Superior;Não
Concordo;Discordo;Discordo;Não sei;Indiferente;Concordo;Concordo;Discordo totalmente;Discordo;Indiferente;Discordo;Concordo;Concordo;;Não sei;Não sei;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Não sei;Indiferente;Feminino;20;Curso Técnico;Não
Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Indiferente;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Não sei;Concordo totalmente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Indiferente;Satisfeito;Feminino;19;Curso Técnico;Não
Discordo;Discordo;Discordo;Não sei;Discordo;Discordo;Não sei;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Não sei;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;;;;;
Discordo;Discordo;Discordo;Concordo;Discordo;Concordo totalmente;Concordo;Discordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;20;Ensino Superior;Não
Indiferente;Indiferente;Concordo totalmente;Indiferente;Concordo;Concordo totalmente;Concordo totalmente;Indiferente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Indiferente;Concordo;Concordo totalmente;Concordo;Indiferente;Indiferente;Discordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Satisfeito;Feminino;23;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Feminino;19;Ensino Superior;Não
Indiferente;Concordo;Discordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Satisfeito;Feminino;20;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Discordo;Concordo totalmente;Não sei;Concordo;Indiferente;Indiferente;Concordo totalmente;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Satisfeito;Masculino;19;Ensino Superior;Não
Concordo;Indiferente;Discordo;Não sei;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Satisfeito;Masculino;20;Ensino Médio;Não
Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Muito satisfeito;Masculino;23;Ensino Médio;Não
Discordo;Não sei;Concordo;Não sei;Concordo;Discordo;Não sei;Discordo;Concordo;Discordo;Indiferente;Não sei;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Indiferente;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;23;Ensino Médio;Não
Concordo;Concordo;Concordo;Não sei;Concordo;Não sei;Concordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo totalmente;Concordo;Concordo;Concordo;Concordo totalmente;Não sei;Concordo;Não sei;Muito satisfeito;Masculino;20;Ensino Médio;Não
Indiferente;Não sei;Indiferente;Não sei;Indiferente;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo;Discordo totalmente;Concordo totalmente;Não sei;Não sei;Não sei;Não sei;Insatisfeito;Masculino;20;Curso Técnico;Não
Concordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo totalmente;Concordo totalmente;Não sei;Não sei;Concordo;Não sei;Insatisfeito;Masculino;21;Ensino Médio;Não
Concordo totalmente;Não sei;Concordo;Não sei;Indiferente;Discordo;Não sei;Concordo;Indiferente;Discordo;Discordo;Não sei;Indiferente;Indiferente;Não sei;Não sei;Concordo;Não sei;Não sei;Discordo;Discordo;Concordo;Não sei;Não sei;Não sei;Não sei;Indiferente;Masculino;19;Ensino Médio;Não
Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Indiferente;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Satisfeito;Masculino;18;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Não sei;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Concordo;Não sei;Não sei;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Concordo;Discordo;Concordo totalmente;Não sei;Muito satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Concordo;Discordo;Concordo;Indiferente;Concordo;Concordo;Discordo;Discordo totalmente;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Discordo totalmente;Não sei;Concordo;Não sei;Indiferente;Masculino;20;Ensino Médio;Não
Discordo totalmente;Discordo;Discordo;Não sei;Discordo;Não sei;Não sei;Discordo;Discordo;Discordo;Discordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo totalmente;Discordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Não sei;Não sei;Não sei;Insatisfeito;Prefiro não responder;19;Ensino Médio;Não
Concordo;Indiferente;Discordo;Concordo totalmente;Concordo totalmente;Não sei;Discordo;Concordo totalmente;Discordo totalmente;Discordo totalmente;Indiferente;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo totalmente;Discordo totalmente;Indiferente;Prefiro não responder;21;Ensino Médio;Não
Concordo;Não sei;Concordo;Não sei;Discordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Discordo;Discordo totalmente;Concordo totalmente;Indiferente;Indiferente;Indiferente;Indiferente;Concordo totalmente;Indiferente;Concordo totalmente;Discordo;Discordo;Discordo;Discordo;Indiferente;Concordo;Não sei;Satisfeito;Feminino;20;Curso Técnico;Não
Concordo totalmente;Discordo;Concordo;Não sei;Não sei;Não sei;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Não sei;Não sei;Não sei;Não sei;Indiferente;Não sei;Concordo;Não sei;Não sei;Concordo;Concordo;Não sei;Indiferente;Feminino;32;Pós-Graduação;Sim
Concordo;Não sei;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo totalmente;Concordo;Concordo totalmente;Concordo totalmente;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo totalmente;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Concordo totalmente;Não sei;Satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Discordo;Discordo;Não sei;Indiferente;Não sei;Concordo;Discordo;Discordo;Discordo;Concordo;Concordo totalmente;Discordo;Não sei;Discordo;Discordo;Não sei;Não sei;Não sei;Discordo;Discordo;Concordo;Não sei;Discordo;Concordo;Concordo;Indiferente;Masculino;20;Curso Técnico;Não
Concordo totalmente;Concordo totalmente;Concordo;Não sei;Concordo;Concordo totalmente;Não sei;Concordo;Concordo;Indiferente;Concordo;Concordo totalmente;Concordo;Concordo totalmente;Concordo;Não sei;Indiferente;Concordo totalmente;Indiferente;Concordo totalmente;Concordo totalmente;Indiferente;Indiferente;Não sei;Não sei;Indiferente;Satisfeito;Masculino;21;Ensino Superior;Não
Indiferente;Discordo;Indiferente;Não sei;Indiferente;Concordo;Não sei;Discordo;Discordo;Discordo;Indiferente;Concordo;Discordo;Discordo;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Discordo;Concordo;Não sei;Não sei;Concordo;Discordo;Indiferente;Masculino;25;Ensino Médio;Não
Concordo totalmente;Não sei;Concordo;Não sei;Concordo;Discordo;Indiferente;Concordo;Concordo;Indiferente;Concordo totalmente;Indiferente;Concordo;Indiferente;Não sei;Não sei;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Indiferente;Não sei;Satisfeito;Masculino;19;Ensino Médio;Não
Concordo;Discordo;Indiferente;Não sei;Não sei;Discordo;Discordo totalmente;Concordo;Concordo totalmente;Discordo;Discordo totalmente;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Indiferente;Concordo;Concordo;Concordo;Não sei;Não sei;Indiferente;Não sei;Indiferente;Masculino;19;Curso Técnico;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Discordo totalmente;Concordo;Concordo;Não sei;Não sei;Indiferente;Concordo;Concordo;Não sei;Não sei;Concordo;Discordo;Concordo;Concordo;Não sei;Não sei;Não sei;Satisfeito;Masculino;22;Curso Técnico;Não
Discordo;Indiferente;Concordo;Indiferente;Concordo totalmente;Discordo;Discordo;Concordo;Concordo;Discordo;Concordo totalmente;Concordo totalmente;Não sei;Não sei;Não sei;Não sei;Concordo totalmente;Não sei;Concordo;Concordo;Concordo totalmente;Concordo;Indiferente;Não sei;Não sei;Discordo;Satisfeito;Masculino;19;Ensino Médio;Não
Não sei;Concordo totalmente;Concordo;Não sei;Discordo totalmente;Concordo totalmente;Concordo;Discordo totalmente;Concordo;Discordo totalmente;Discordo;Discordo;Não sei;Não sei;Concordo;Indiferente;Discordo totalmente;Concordo;Indiferente;Discordo;Indiferente;Indiferente;Indiferente;Não sei;Concordo;Discordo totalmente;Satisfeito;Prefiro não responder;25;Ensino Médio;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Discordo;Concordo;Não sei;Não sei;Não sei;Concordo;Satisfeito;Feminino;21;Ensino Médio;Não
Concordo totalmente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo;Concordo;Discordo;Discordo;Indiferente;Indiferente;Indiferente;Concordo;Concordo;Indiferente;Masculino;24;Ensino Superior;Não
Concordo;Concordo;Concordo;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Indiferente;Concordo;Concordo;Concordo;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Satisfeito;Masculino;24;Curso Técnico;Não
Concordo;Concordo;Concordo;Concordo;Concordo;Indiferente;Indiferente;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Concordo;Não sei;Concordo;Não sei;Satisfeito;Feminino;24;Ensino Superior;Não
Não sei;Discordo totalmente;Não sei;Não sei;Discordo;Indiferente;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Não sei;Discordo;Não sei;Discordo;Indiferente;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Discordo totalmente;Concordo;Insatisfeito;Masculino;22;Ensino Superior;Não
Concordo;Indiferente;Indiferente;Concordo;Concordo;Discordo;Discordo;Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Discordo;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo;Discordo;Concordo;Discordo;Discordo;Discordo;Discordo;Satisfeito;Feminino;26;Ensino Superior;Não
Concordo totalmente;Concordo;Concordo;Não sei;Concordo;Discordo;Discordo totalmente;Não sei;Concordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Discordo;Não sei;Concordo;Discordo;Discordo;Concordo;Indiferente;Concordo;Indiferente;Não sei;Não sei;Discordo totalmente;Satisfeito;Masculino;22;Ensino Superior;Não
Discordo;Concordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Indiferente;Feminino;22;Ensino Superior;Não
Discordo;Discordo totalmente;Discordo;Concordo;Discordo;Concordo;Concordo;Discordo;Concordo;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Indiferente;Concordo;Indiferente;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Discordo;Concordo;Discordo;Satisfeito;Masculino;22;Curso Técnico;Não
Discordo;Concordo totalmente;Concordo totalmente;Não sei;Discordo;Não sei;Discordo;Concordo;Concordo totalmente;Não sei;Concordo;Concordo;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Concordo;Discordo totalmente;Discordo totalmente;Concordo;Discordo;Não sei;Concordo totalmente;Não sei;Satisfeito;Masculino;22;Curso Técnico;Não
Concordo;Discordo;Discordo;Concordo;Concordo;Discordo;Discordo;Discordo;Discordo;Discordo;Concordo;Concordo;Não sei;Não sei;Discordo;Não sei;Concordo;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Indiferente;Feminino;21;Ensino Superior;Não
Discordo;Discordo;Discordo;Indiferente;Discordo totalmente;Concordo;Concordo;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Concordo;Discordo;Discordo totalmente;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Discordo;Discordo totalmente;Indiferente;Indiferente;Indiferente;Concordo;Discordo;Insatisfeito;Masculino;23;Ensino Superior;Não
Discordo;Concordo;Concordo;Discordo;Concordo;Concordo;Indiferente;Discordo;Discordo;Indiferente;Indiferente;Concordo;Concordo;Discordo;Discordo;Discordo totalmente;Concordo;Concordo;Não sei;Indiferente;Discordo;Indiferente;Concordo;Não sei;Não sei;Não sei;Indiferente;Feminino;21;Ensino Superior;Não
Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Indiferente;Discordo;Não sei;Não sei;Indiferente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Insatisfeito;Feminino;24;Ensino Superior;Não
Discordo;Discordo;Discordo;Não sei;Discordo;Indiferente;Não sei;Discordo;Concordo;Discordo;Concordo;Não sei;Discordo;Discordo;Não sei;Não sei;Não sei;Concordo;Indiferente;Discordo;Discordo;Indiferente;Não sei;Não sei;Não sei;Discordo totalmente;Insatisfeito;Masculino;25;Ensino Superior;Não
Discordo;Concordo;Concordo;Discordo;Indiferente;Concordo;Concordo;Concordo;;Indiferente;Indiferente;Concordo;Indiferente;Concordo;Concordo;Discordo;Indiferente;Indiferente;Indiferente;Indiferente;Discordo;Concordo;Indiferente;Concordo;Concordo;Não sei;Indiferente;Feminino;21;Ensino Superior;Não
Concordo;Concordo;Indiferente;Concordo;Concordo;Concordo totalmente;Concordo;Concordo;Concordo;Não sei;Concordo;Indiferente;Concordo;Discordo;Não sei;Não sei;Concordo;Não sei;Não sei;Discordo;Discordo;Indiferente;Concordo;Não sei;Concordo totalmente;Não sei;Indiferente;Masculino;24;Ensino Médio;Não
Indiferente;Concordo;Indiferente;Discordo;Indiferente;Discordo totalmente;Indiferente;Indiferente;Concordo;Discordo;Concordo;Concordo;Concordo;Discordo;Indiferente;Discordo;Concordo;Indiferente;Indiferente;Discordo;Indiferente;Concordo;Indiferente;Discordo;Concordo;Discordo;Satisfeito;Masculino;23;Ensino Superior;Sim
Discordo totalmente;Discordo totalmente;Discordo totalmente;Não sei;Discordo totalmente;Concordo;Não sei;Discordo totalmente;Discordo totalmente;Discordo;Discordo;Não sei;Concordo;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Discordo totalmente;Discordo totalmente;Discordo;Não sei;Concordo;Concordo;Não sei;Insatisfeito;Feminino;26;Ensino Médio;Não
Indiferente;Discordo totalmente;Discordo totalmente;Indiferente;Discordo;Concordo;Concordo;Discordo totalmente;Discordo;Discordo totalmente;Discordo;Discordo;Discordo;Discordo totalmente;Discordo;Discordo;Indiferente;Discordo;Discordo;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo totalmente;Discordo;Indiferente;Indiferente;Muito insatisfeito;Feminino;30;Ensino Médio;Não
Discordo;Discordo;Discordo;Concordo;Concordo;Concordo;Concordo totalmente;Discordo;Discordo;Não sei;Concordo;Concordo;Não sei;Não sei;Não sei;Não sei;Concordo;Não sei;Não sei;Não sei;Indiferente;Não sei;;Não sei;Concordo;Não sei;Indiferente;Masculino;21;Ensino Médio;Não
